ArPo28	2	1	1
ArPo31	2	1	1
ArPo58	4	1	1
L10Lap02	1	1	1
L10Mo01	1	1	1
L10Mo03	1	1	1
L11Vc04	1	1	1
L11Vc05	2	1	1
L14Lap03	1	1	1
L14Os02	1	1	1
L14Os06	1	1	1
L14Os08	1	1	1
L14Sv01	1	1	1
L15Sv08	1	1	1
L15Sv14	1	1	1
L17ML03	1	1	1
L19Cs01	1	1	1
L1Vc01	2	1	1
L3Lc03	1	1	1
L3ML02	1	1	1
L3ML04	1	1	2
L4Lc03	1	1	1
L6Lap03	1	1	1
L6Mo02	1	1	1
L7Lc20	1	1	1
L7Tp01	16	1	1
L7Tp17	10	1	1
L7Tp23	1	1	1
L9Ms03	3916	3	1
L9Ms05	1	1	1
L9Ms14	1	1	2
R21Cs02	2	1	1
Alfalfa	100	2	1
Cast	146	2	1
Clover	2	1	1
Gers	10	2	1
Gs	18	1	1
Gt	7	1	1
Lc	30	1	1
Lus	149	9	1
Mel	1	1	1
MI	2	1	1
Mil	24	2	1
Os	2	1	1
Ov	1	1	1
Pea	872	2	1
Sl	163	4	1
Sv	36	3	1
Vc	288	1	1
Vl	108	1	1
