ArPo28	2	1	1
ArPo31	1	1	1
ArPo58	4	1	1
L10Lap02	1	1	1
L10Mo01	1	1	1
L10Mo03	1	1	1
L11Vc04	2	1	1
L11Vc05	1	1	1
L14Lap03	1	1	1
L14Os02	1	1	1
L14Os06	1	1	1
L14Os08	4	2	1
L14Sv01	1	1	1
L15Sv08	2	1	1
L15Sv14	2	1	1
L17ML03	1	1	1
L19Cs01	1	1	1
L1Vc01	2	1	1
L3Lc03	1	1	1
L3ML02	1	1	1
L3ML04	1	1	2
L4Lc03	1	1	1
L6Lap03	1	1	1
L6Mo02	1	1	1
L7Lc20	1	1	1
L7Tp01	1	1	1
L7Tp17	2	1	1
L7Tp23	1	1	1
L9Ms03	4	1	1
L9Ms05	1	1	1
L9Ms14	1	1	2
R21Cs02	1	1	1
Alfalfa	56	2	1
Cast	36	1	1
Clover	8	1	1
Gers	2	1	1
Gs	8	2	1
Gt	1	1	1
Lc	30	1	1
Lus	10	3	1
Mel	2	1	1
MI	4	1	1
Mil	36	2	1
Os	2	1	1
Ov	5	2	1
Pea	1728	1	1
Sl	30	2	1
Sv	18	1	1
Vc	40	2	1
Vl	4	1	1
