Alfalfa.myzus	6:43:44	277427808
ArPo28.myzus	37:09.98	46255696
ArPo31.myzus	19:50.00	38707288
ArPo58.myzus	23:01.61	37676440
Cast.myzus	3:04:57	130082788
Clover.myzus	6:16:55	329725084
Gers.myzus	2:24:05	118371160
Gs.myzus	2:23:14	171843660
Gt.myzus	2:44:03	195630468
L10Lap02.myzus	43:40.41	48407400
L10Mo01.myzus	54:44.17	43884048
L10Mo03.myzus	1:20:43	62531352
L11Vc04.myzus	33:19.38	49901956
L11Vc05.myzus	43:39.73	38282392
L14Lap03.myzus	39:23.33	45686712
L14Os02.myzus	36:30.76	26490484
L14Os06.myzus	53:31.57	27954844
L14Os08.myzus	1:09:30	41634484
L14Sv01.myzus	46:07.52	50447240
L15Sv08.myzus	38:58.81	49674264
L15Sv14.myzus	1:14:38	44317788
L17ML03.myzus	45:05.72	50176540
L19Cs01.myzus	53:34.71	35197488
L1Vc01.myzus	42:21.06	40311808
L3Lc03.myzus	25:46.40	41093160
L3ML02.myzus	57:17.45	57336012
L3ML04.myzus	31:38.30	32006892
L4Lc03.myzus	1:40:42	62357392
L6Lap03.myzus	47:02.96	48466420
L6Mo02.myzus	39:42.99	45260072
L7Lc20.myzus	43:28.37	43596736
L7Tp01.myzus	18:45.73	32390920
L7Tp17.myzus	21:54.60	36129876
L7Tp23.myzus	34:12.70	41440592
L9Ms03.myzus	33:55.42	46089400
L9Ms05.myzus	27:40.58	22840060
L9Ms14.myzus	25:58.22	22110504
Lc.myzus	3:32:40	206756332
Lus.myzus	2:07:24	125326420
Mel.myzus	3:03:55	174557688
Mil.myzus	2:43:47	131494248
MI.myzus	3:01:33	177782604
Os.myzus	3:18:21	200908160
Ov.myzus	3:46:23	194985164
Pea.myzus	8:40:26	322656820
R21Cs02.myzus	36:00.96	55625320
Sl.myzus	3:30:02	136365504
Sv.myzus	3:06:50	183380772
Vc.myzus	3:46:12	167940612
Vl.myzus	3:04:15	134345488
